paraphrase_type,count,mean,std,min,25%,50%,75%,max
instruct_coord_to_subord,1489.0,43.28309687709872,46.23860456381982,4.3125,22.375,32.0,47.5,880.0
instruct_double_negative,1493.0,41.88130023442733,29.345221651248092,6.84375,24.25,33.75,49.75,304.0
instruct_dramatic,1493.0,60.603901540522436,40.693815641530115,11.4375,38.0,50.5,70.0,444.0
instruct_future_tense,1493.0,40.23633204956464,54.434708739684446,5.625,19.75,29.25,41.75,1280.0
instruct_joke,1493.0,36.2286503683858,20.633943229926086,9.9375,22.75,31.125,43.25,185.0
instruct_leet_speak,1489.0,13.592784586971122,14.668676141632886,2.640625,7.625,9.3125,13.1875,230.0
instruct_one_typo_punctuation,1489.0,72.91485476830087,261.6832924357992,3.4375,16.625,28.75,46.0,5920.0
instruct_output_markdown,1493.0,51.05963245144005,57.88123599563842,3.46875,26.625,38.0,56.25,1208.0
instruct_polite_request,1493.0,51.6534661754856,112.82483095683044,5.71875,23.875,34.25,47.5,2624.0
instruct_sardonic,1493.0,52.723417615539184,34.79970646888112,12.9375,33.0,43.75,60.0,378.0
instruction_original,1493.0,301.26620897521775,117.27069140766774,100.26,194.83,299.47,402.52,499.88
