paraphrase_type,count,mean,std,min,25%,50%,75%,max
instruct_90char_bullet,1493.0,5.73007367716008,3.6105872480898973,0.0,2.0,6.0,9.0,10.0
instruct_aave,1490.0,6.4,3.126137133605324,0.0,4.0,7.0,9.0,10.0
instruct_absurdist,1493.0,5.394507702612191,3.3908324366413285,0.0,3.0,6.0,9.0,10.0
instruct_acronyms_spelled_out,1493.0,6.336905559276624,3.255181114921399,0.0,4.0,7.0,10.0,10.0
instruct_advertisement,1492.0,5.477882037533512,3.564135958255895,0.0,2.0,6.0,9.0,10.0
instruct_all_caps,1489.0,7.081934184016118,3.025652425594198,0.0,5.0,8.0,10.0,10.0
instruct_all_caps_and_typo,1493.0,6.939048894842599,3.263398187089717,0.0,5.0,8.0,10.0,10.0
instruct_all_caps_and_typo_and_missing_bracket,1493.0,6.683188211654387,3.3541167558496925,0.0,4.0,8.0,10.0,10.0
instruct_all_caps_and_typo_and_missing_bracket_and_random_characters,1493.0,6.584058941728064,3.454481935724187,0.0,4.0,8.0,10.0,10.0
instruct_ambiguous_scope,1493.0,6.444072337575352,2.964103836758335,0.0,4.0,7.0,9.0,10.0
instruct_american_english,1490.0,7.057046979865772,3.0883727664148175,0.0,5.0,8.0,10.0,10.0
instruct_apologetic,1493.0,6.316141995981246,3.231544939028445,0.0,4.0,7.0,9.0,10.0
instruct_apology,1493.0,6.102478231748158,3.424337358898596,0.0,3.0,7.0,9.0,10.0
instruct_archaic,1493.0,5.638312123241795,3.3592623889711484,0.0,3.0,6.0,9.0,10.0
instruct_australian_english,1490.0,6.302013422818792,3.3112639194034776,0.0,4.0,7.0,9.0,10.0
instruct_authoritative,1493.0,6.354989953114535,3.3545870445071375,0.0,3.0,7.0,10.0,10.0
instruct_base64,1489.0,0.9704499664204164,2.2415761961381273,0.0,0.0,0.0,0.0,10.0
instruct_british_english,1490.0,6.6644295302013425,3.2440693178195885,0.0,4.0,8.0,10.0,10.0
instruct_bullet_list,1489.0,7.341168569509738,2.8315957314234956,0.0,5.0,8.0,10.0,10.0
instruct_bulleted_outline,1493.0,6.527126590756866,3.1082083851201694,0.0,4.0,7.0,9.0,10.0
instruct_bureaucratic,1493.0,5.601473543201608,3.6159347923309375,0.0,2.0,6.0,9.0,10.0
instruct_casual,1490.0,6.485906040268456,3.389848158126687,0.0,4.0,8.0,10.0,10.0
instruct_casual_chat,1492.0,6.920911528150134,3.1493846141058324,0.0,5.0,8.0,10.0,10.0
instruct_checklist,1489.0,6.274009402283411,3.2399767028263913,0.0,4.0,7.0,9.0,10.0
instruct_checklist_markdown,1493.0,5.093770931011386,3.1502661777043017,0.0,3.0,5.0,8.0,10.0
instruct_chemical_smiles,1493.0,4.7521768251841925,3.515410865865221,0.0,2.0,4.0,8.0,10.0
instruct_child_directed,1493.0,6.016744809109176,3.5452438951342655,0.0,3.0,7.0,9.0,10.0
instruct_choice_question,1493.0,5.173476222371065,3.9860740879116014,0.0,1.0,5.0,9.0,10.0
instruct_cleft_it_is,1489.0,6.568166554734721,3.441067903475155,0.0,4.0,8.0,10.0,10.0
instruct_cockney,1490.0,4.921476510067114,3.7373303099027204,0.0,1.0,5.0,9.0,10.0
instruct_code_fence,1493.0,6.751507032819826,3.410755059099725,0.0,4.0,8.0,10.0,10.0
instruct_colloquial,1493.0,5.601473543201608,3.5941825164094516,0.0,2.0,6.0,9.0,10.0
instruct_command,1493.0,6.195579370395177,3.3817530813737875,0.0,3.0,7.0,9.0,10.0
instruct_condensed_then_expand,1493.0,5.972538513060951,3.26549452251345,0.0,3.0,7.0,9.0,10.0
instruct_condensed_then_expand_with_examples,1493.0,5.4474212993971864,2.9958777053148995,0.0,3.0,6.0,8.0,10.0
instruct_condensed_then_expand_with_examples_and_explanations,1493.0,5.2685867381111855,2.9004132919442256,0.0,3.0,6.0,7.0,10.0
instruct_condensed_then_expand_with_examples_and_explanations_and_summary,1493.0,4.920964501004689,2.921524287584837,0.0,3.0,5.0,7.0,10.0
instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks,1493.0,4.551239115874079,2.7282321765948114,0.0,2.0,5.0,7.0,10.0
instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks_and_benefits,1493.0,4.318151373074347,2.586295872285522,0.0,2.0,4.0,6.0,10.0
instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks_and_benefits_and_references,1493.0,3.799062290689886,2.406943525759942,0.0,2.0,4.0,6.0,10.0
instruct_condensed_then_expand_with_examples_and_explanations_and_summary_and_risks_and_benefits_and_references_and_citations,1493.0,3.509042196918955,2.3559188951896295,0.0,2.0,3.0,5.0,10.0
