tag,count,mean,std,min,25%,50%,75%,max,n
format,105951.0,5.364621381582052,3.5106202342780586,0.0,2.0,6.0,9.0,10.0,105951
length_brevity,8958.0,5.3112301853092205,3.730934418609789,0.0,2.0,6.0,9.0,10.0,8958
visual layout,8946.0,6.094232059020792,3.3457307398858727,0.0,3.0,7.0,9.0,10.0,8946
formatting,93986.0,6.236726746536719,3.5501200412741762,0.0,3.0,7.0,10.0,10.0,93986
style,132808.0,5.748313354617192,3.6685254781743923,0.0,2.0,7.0,9.0,10.0,132808
dialect,13409.0,5.9981355805802075,3.572833152902345,0.0,3.0,7.0,9.0,10.0,13409
language,14903.0,6.103536200764947,3.4788241399173363,0.0,3.0,7.0,9.0,10.0,14903
slangy,11918.0,5.355093136432287,3.740325506589453,0.0,2.0,6.0,9.0,10.0,11918
register,34321.0,6.110253197750648,3.5220120414220144,0.0,3.0,7.0,9.0,10.0,34321
informal,28351.0,6.103523685231561,3.6883876021219093,0.0,3.0,7.0,10.0,10.0,28351
cultural_reference,1490.0,6.4,3.126137133605324,0.0,4.0,7.0,9.0,10.0,1490
tone,85086.0,5.755447429659403,3.7205608865346345,0.0,2.0,7.0,9.0,10.0,85086
playfulness,13437.0,5.600506065341966,3.802992316922932,0.0,2.0,6.0,9.0,10.0,13437
genre,20888.0,5.209977020298736,3.837715787933042,0.0,1.0,6.0,9.0,10.0,20888
special_characters,58197.0,6.340326820970153,3.577090788654001,0.0,3.0,7.0,10.0,10.0,58197
technical,34309.0,5.075402955492728,3.8333901046412024,0.0,1.0,5.0,9.0,10.0,34309
emphasis,16409.0,6.493753427996831,3.489428292399663,0.0,3.0,8.0,10.0,10.0,16409
error_and_edge_cases,71571.0,6.4448868955303125,3.4783695692678003,0.0,3.0,8.0,10.0,10.0,71571
spelling_change,47711.0,6.448030852423969,3.491321973671828,0.0,3.0,8.0,10.0,10.0,47711
obstructions,31325.0,6.660909816440543,3.4235460198400567,0.0,4.0,8.0,10.0,10.0,31325
punctuation,40257.0,6.731847877387784,3.343064541781198,0.0,4.0,8.0,10.0,10.0,40257
noise,22375.0,6.5408268156424585,3.4948816135600578,0.0,4.0,8.0,10.0,10.0,22375
obfuscation,5965.0,5.266387259010897,3.606567493069322,0.0,2.0,5.0,9.0,10.0,5965
speech-act,16421.0,6.152548565860788,3.5161439563408763,0.0,3.0,7.0,9.0,10.0,16421
emotion,14930.0,5.791225720026792,3.7144569012114586,0.0,2.0,7.0,9.0,10.0,14930
voice,16423.0,6.183035986117031,3.474122666956687,0.0,3.0,7.0,9.0,10.0,16423
formal,14925.0,6.132060301507538,3.511923148981284,0.0,3.0,7.0,9.0,10.0,14925
encoding,5968.0,3.4757037533512065,3.8338738125159972,0.0,0.0,2.0,7.0,10.0,5968
ciphers,2982.0,1.6502347417840375,3.0860517074606317,0.0,0.0,0.0,2.0,10.0,2982
structural_interference,7461.0,6.228119555019434,3.43116415649479,0.0,3.0,7.0,9.0,10.0,7461
dialogue_frames,8953.0,5.909192449458282,3.618681875894069,0.0,3.0,7.0,9.0,10.0,8953
domain_jargon,31308.0,5.430528938290533,3.768392573321806,0.0,2.0,6.0,9.0,10.0,31308
audience,2986.0,5.826188881446751,3.352080882232522,0.0,3.0,6.0,9.0,10.0,2986
question_type,13436.0,5.924754391187854,3.618635621067233,0.0,3.0,7.0,9.0,10.0,13436
syntax_tweaks,28331.0,6.1560834421658255,3.5735813341335305,0.0,3.0,7.0,9.0,10.0,28331
structure,77625.0,5.519381642512077,3.404490131386843,0.0,3.0,6.0,9.0,10.0,77625
verbosity,23888.0,4.291736436704621,3.070213419239568,0.0,2.0,4.0,7.0,10.0,23888
compression,17916.0,4.075965617325296,2.7994219210564815,0.0,2.0,4.0,6.0,10.0,17916
redundancy,23880.0,4.607830820770519,3.166501554158436,0.0,2.0,4.0,7.0,10.0,23880
negative,14927.0,5.121189790312856,3.8697105186493976,0.0,1.0,6.0,9.0,10.0,14927
polarity,2986.0,4.702277294038848,4.003027519023212,0.0,0.0,4.0,9.0,10.0,2986
interactive,1493.0,5.90020093770931,3.4905204774596013,0.0,3.0,6.0,9.0,10.0,1493
edits,1492.0,6.099865951742627,3.4801458503389413,0.0,3.0,7.0,9.0,10.0,1492
positive,8958.0,6.272828756418844,3.5724874806043374,0.0,3.0,7.5,10.0,10.0,8958
length,1493.0,5.425318151373074,3.6585976977332884,0.0,2.0,6.0,9.0,10.0,1493
perspective,5972.0,6.350971198928332,3.3888397023258556,0.0,3.0,7.0,9.0,10.0,5972
code_switch,1490.0,5.5825503355704695,3.6603943011249136,0.0,2.0,6.0,9.0,10.0,1490
modality,7464.0,6.65058949624866,3.5376033126497815,0.0,4.0,8.0,10.0,10.0,7464
lyrical,2986.0,3.3760884125920962,3.821067085590438,0.0,0.0,1.0,7.0,10.0,2986
mixed_modality,2986.0,5.79939718687207,3.749386947764365,0.0,2.0,7.0,9.75,10.0,2986
mis_direction,2986.0,5.301071667782987,3.8306852657079853,0.0,1.0,6.0,9.0,10.0,2986
self_reflection,2986.0,5.271265907568654,3.415614682099352,0.0,2.0,5.0,9.0,10.0,2986
contextual_formality,1493.0,6.256530475552578,3.41703162298931,0.0,3.0,7.0,9.0,10.0,1493
symbol_swap,1490.0,4.3436241610738255,3.8546514015522053,0.0,0.0,4.0,8.0,10.0,1490
number_swap,1490.0,4.273825503355705,3.7866435939509437,0.0,0.0,3.0,8.0,10.0,1490
