paraphrase_type,count,mean,std,min,25%,50%,75%,max
instruct_coord_to_subord,1489.0,6.974479516453996,3.208380137379445,0.0,5.0,8.0,10.0,10.0
instruct_double_negative,1493.0,4.155391828533155,3.9431235403604132,0.0,0.0,3.0,8.0,10.0
instruct_dramatic,1493.0,5.265907568653717,3.896227182399182,0.0,1.0,6.0,9.0,10.0
instruct_future_tense,1493.0,6.201607501674481,3.4629711226020725,0.0,3.0,7.0,9.0,10.0
instruct_joke,1493.0,5.55793703951775,3.8399828290502307,0.0,2.0,6.0,9.0,10.0
instruct_leet_speak,1489.0,4.16655473472129,3.9216704275171548,0.0,0.0,3.0,8.0,10.0
instruct_one_typo_punctuation,1489.0,7.056413700470114,3.095832835767537,0.0,5.0,8.0,10.0,10.0
instruct_output_markdown,1493.0,6.689886135298058,3.4869939580821963,0.0,4.0,8.0,10.0,10.0
instruct_polite_request,1493.0,6.256530475552578,3.41703162298931,0.0,3.0,7.0,9.0,10.0
instruct_sardonic,1493.0,5.0663094440723375,3.889771022730518,0.0,1.0,6.0,9.0,10.0
instruction_original,1493.0,7.361018084393838,3.3711847915037674,0.0,5.0,9.0,10.0,10.0
