tag,count,mean,std,min,25%,50%,75%,max
punctuation,40257.0,6.731847877387784,3.343064541781198,0.0,4.0,8.0,10.0,10.0
obstructions,31325.0,6.660909816440543,3.4235460198400567,0.0,4.0,8.0,10.0,10.0
modality,7464.0,6.65058949624866,3.5376033126497815,0.0,4.0,8.0,10.0,10.0
noise,22375.0,6.5408268156424585,3.4948816135600578,0.0,4.0,8.0,10.0,10.0
emphasis,16409.0,6.493753427996831,3.489428292399663,0.0,3.0,8.0,10.0,10.0
spelling_change,47711.0,6.448030852423969,3.4913219736718286,0.0,3.0,8.0,10.0,10.0
error_and_edge_cases,71571.0,6.4448868955303125,3.4783695692678003,0.0,3.0,8.0,10.0,10.0
cultural_reference,1490.0,6.4,3.126137133605324,0.0,4.0,7.0,9.0,10.0
perspective,5972.0,6.350971198928332,3.3888397023258556,0.0,3.0,7.0,9.0,10.0
special_characters,58197.0,6.340326820970153,3.577090788654001,0.0,3.0,7.0,10.0,10.0
positive,8958.0,6.272828756418844,3.5724874806043374,0.0,3.0,7.5,10.0,10.0
contextual_formality,1493.0,6.256530475552578,3.41703162298931,0.0,3.0,7.0,9.0,10.0
structural_interference,7461.0,6.228119555019434,3.43116415649479,0.0,3.0,7.0,9.0,10.0
formatting,95479.0,6.222174509578022,3.5477194371011818,0.0,3.0,7.0,10.0,10.0
voice,16423.0,6.183035986117031,3.4741226669566876,0.0,3.0,7.0,9.0,10.0
syntax_tweaks,28331.0,6.1560834421658255,3.5735813341335305,0.0,3.0,7.0,9.0,10.0
speech-act,16421.0,6.152548565860788,3.5161439563408763,0.0,3.0,7.0,9.0,10.0
formal,14925.0,6.132060301507538,3.511923148981284,0.0,3.0,7.0,9.0,10.0
register,34321.0,6.110253197750648,3.5220120414220144,0.0,3.0,7.0,9.0,10.0
informal,28351.0,6.103523685231561,3.6883876021219093,0.0,3.0,7.0,10.0,10.0
edits,1492.0,6.099865951742627,3.4801458503389413,0.0,3.0,7.0,9.0,10.0
visual layout,10439.0,5.981511639045886,3.3457215122982835,0.0,3.0,7.0,9.0,10.0
question_type,13436.0,5.924754391187854,3.618635621067233,0.0,3.0,7.0,9.0,10.0
dialogue_frames,8953.0,5.909192449458282,3.618681875894069,0.0,3.0,7.0,9.0,10.0
interactive,1493.0,5.90020093770931,3.4905204774596013,0.0,3.0,6.0,9.0,10.0
audience,2986.0,5.826188881446751,3.3520808822325225,0.0,3.0,6.0,9.0,10.0
mixed_modality,2986.0,5.79939718687207,3.749386947764366,0.0,2.0,7.0,9.75,10.0
emotion,14930.0,5.791225720026792,3.714456901211459,0.0,2.0,7.0,9.0,10.0
tone,85086.0,5.755447429659403,3.720560886534635,0.0,2.0,7.0,9.0,10.0
style,132808.0,5.748313354617192,3.668525478174393,0.0,2.0,7.0,9.0,10.0
playfulness,13437.0,5.600506065341966,3.8029923169229316,0.0,2.0,6.0,9.0,10.0
code_switch,1490.0,5.5825503355704695,3.6603943011249136,0.0,2.0,6.0,9.0,10.0
structure,77625.0,5.519381642512077,3.4044901313868436,0.0,3.0,6.0,9.0,10.0
dialect,14899.0,5.502181354453319,3.788213620111758,0.0,2.0,6.0,9.0,10.0
language,23843.0,5.459505934655874,3.749471640097742,0.0,2.0,6.0,9.0,10.0
domain_jargon,31308.0,5.430528938290533,3.7683925733218055,0.0,2.0,6.0,9.0,10.0
length,1493.0,5.425318151373074,3.6585976977332884,0.0,2.0,6.0,9.0,10.0
format,110430.0,5.359376980892874,3.507593951002226,0.0,2.0,6.0,9.0,10.0
slangy,11918.0,5.355093136432287,3.740325506589453,0.0,2.0,6.0,9.0,10.0
length_brevity,8958.0,5.3112301853092205,3.730934418609789,0.0,2.0,6.0,9.0,10.0
mis_direction,2986.0,5.301071667782987,3.8306852657079853,0.0,1.0,6.0,9.0,10.0
self_reflection,2986.0,5.271265907568654,3.4156146820993527,0.0,2.0,5.0,9.0,10.0
genre,20888.0,5.209977020298736,3.837715787933042,0.0,1.0,6.0,9.0,10.0
negative,14927.0,5.121189790312856,3.8697105186493976,0.0,1.0,6.0,9.0,10.0
technical,34309.0,5.075402955492728,3.833390104641203,0.0,1.0,5.0,9.0,10.0
polarity,2986.0,4.702277294038848,4.003027519023212,0.0,0.0,4.0,9.0,10.0
redundancy,23880.0,4.607830820770519,3.166501554158436,0.0,2.0,4.0,7.0,10.0
symbol_swap,1490.0,4.3436241610738255,3.8546514015522053,0.0,0.0,4.0,8.0,10.0
obfuscation,7454.0,4.342098202307486,3.8189196466310538,0.0,0.0,4.0,8.0,10.0
verbosity,23888.0,4.291736436704621,3.070213419239568,0.0,2.0,4.0,7.0,10.0
number_swap,1490.0,4.273825503355705,3.7866435939509437,0.0,0.0,3.0,8.0,10.0
compression,17916.0,4.075965617325296,2.799421921056481,0.0,2.0,4.0,6.0,10.0
lyrical,2986.0,3.3760884125920962,3.821067085590438,0.0,0.0,1.0,7.0,10.0
encoding,8947.0,2.4894378003800157,3.5755046337698317,0.0,0.0,0.0,5.0,10.0
fictional,1490.0,1.0389261744966443,2.5470379802271115,0.0,0.0,0.0,0.0,10.0
ciphers,7450.0,0.9936912751677852,2.4683444500436593,0.0,0.0,0.0,0.0,10.0
