                    tag    count     mean      std  min  25%  50%   75%  max
            punctuation  40257.0 6.731848 3.343065  0.0  4.0  8.0 10.00 10.0
           obstructions  31325.0 6.660910 3.423546  0.0  4.0  8.0 10.00 10.0
               modality   7464.0 6.650589 3.537603  0.0  4.0  8.0 10.00 10.0
                  noise  22375.0 6.540827 3.494882  0.0  4.0  8.0 10.00 10.0
               emphasis  16409.0 6.493753 3.489428  0.0  3.0  8.0 10.00 10.0
        spelling_change  47711.0 6.448031 3.491322  0.0  3.0  8.0 10.00 10.0
   error_and_edge_cases  71571.0 6.444887 3.478370  0.0  3.0  8.0 10.00 10.0
     cultural_reference   1490.0 6.400000 3.126137  0.0  4.0  7.0  9.00 10.0
            perspective   5972.0 6.350971 3.388840  0.0  3.0  7.0  9.00 10.0
     special_characters  58197.0 6.340327 3.577091  0.0  3.0  7.0 10.00 10.0
               positive   8958.0 6.272829 3.572487  0.0  3.0  7.5 10.00 10.0
   contextual_formality   1493.0 6.256530 3.417032  0.0  3.0  7.0  9.00 10.0
structural_interference   7461.0 6.228120 3.431164  0.0  3.0  7.0  9.00 10.0
             formatting  95479.0 6.222175 3.547719  0.0  3.0  7.0 10.00 10.0
                  voice  16423.0 6.183036 3.474123  0.0  3.0  7.0  9.00 10.0
          syntax_tweaks  28331.0 6.156083 3.573581  0.0  3.0  7.0  9.00 10.0
             speech-act  16421.0 6.152549 3.516144  0.0  3.0  7.0  9.00 10.0
                 formal  14925.0 6.132060 3.511923  0.0  3.0  7.0  9.00 10.0
               register  34321.0 6.110253 3.522012  0.0  3.0  7.0  9.00 10.0
               informal  28351.0 6.103524 3.688388  0.0  3.0  7.0 10.00 10.0
                  edits   1492.0 6.099866 3.480146  0.0  3.0  7.0  9.00 10.0
          visual layout  10439.0 5.981512 3.345722  0.0  3.0  7.0  9.00 10.0
          question_type  13436.0 5.924754 3.618636  0.0  3.0  7.0  9.00 10.0
        dialogue_frames   8953.0 5.909192 3.618682  0.0  3.0  7.0  9.00 10.0
            interactive   1493.0 5.900201 3.490520  0.0  3.0  6.0  9.00 10.0
               audience   2986.0 5.826189 3.352081  0.0  3.0  6.0  9.00 10.0
         mixed_modality   2986.0 5.799397 3.749387  0.0  2.0  7.0  9.75 10.0
                emotion  14930.0 5.791226 3.714457  0.0  2.0  7.0  9.00 10.0
                   tone  85086.0 5.755447 3.720561  0.0  2.0  7.0  9.00 10.0
                  style 132808.0 5.748313 3.668525  0.0  2.0  7.0  9.00 10.0
            playfulness  13437.0 5.600506 3.802992  0.0  2.0  6.0  9.00 10.0
            code_switch   1490.0 5.582550 3.660394  0.0  2.0  6.0  9.00 10.0
              structure  77625.0 5.519382 3.404490  0.0  3.0  6.0  9.00 10.0
                dialect  14899.0 5.502181 3.788214  0.0  2.0  6.0  9.00 10.0
               language  23843.0 5.459506 3.749472  0.0  2.0  6.0  9.00 10.0
          domain_jargon  31308.0 5.430529 3.768393  0.0  2.0  6.0  9.00 10.0
                 length   1493.0 5.425318 3.658598  0.0  2.0  6.0  9.00 10.0
                 format 110430.0 5.359377 3.507594  0.0  2.0  6.0  9.00 10.0
                 slangy  11918.0 5.355093 3.740326  0.0  2.0  6.0  9.00 10.0
         length_brevity   8958.0 5.311230 3.730934  0.0  2.0  6.0  9.00 10.0
          mis_direction   2986.0 5.301072 3.830685  0.0  1.0  6.0  9.00 10.0
        self_reflection   2986.0 5.271266 3.415615  0.0  2.0  5.0  9.00 10.0
                  genre  20888.0 5.209977 3.837716  0.0  1.0  6.0  9.00 10.0
               negative  14927.0 5.121190 3.869711  0.0  1.0  6.0  9.00 10.0
              technical  34309.0 5.075403 3.833390  0.0  1.0  5.0  9.00 10.0
               polarity   2986.0 4.702277 4.003028  0.0  0.0  4.0  9.00 10.0
             redundancy  23880.0 4.607831 3.166502  0.0  2.0  4.0  7.00 10.0
            symbol_swap   1490.0 4.343624 3.854651  0.0  0.0  4.0  8.00 10.0
            obfuscation   7454.0 4.342098 3.818920  0.0  0.0  4.0  8.00 10.0
              verbosity  23888.0 4.291736 3.070213  0.0  2.0  4.0  7.00 10.0
            number_swap   1490.0 4.273826 3.786644  0.0  0.0  3.0  8.00 10.0
            compression  17916.0 4.075966 2.799422  0.0  2.0  4.0  6.00 10.0
                lyrical   2986.0 3.376088 3.821067  0.0  0.0  1.0  7.00 10.0
               encoding   8947.0 2.489438 3.575505  0.0  0.0  0.0  5.00 10.0
              fictional   1490.0 1.038926 2.547038  0.0  0.0  0.0  0.00 10.0
                ciphers   7450.0 0.993691 2.468344  0.0  0.0  0.0  0.00 10.0
